TIME,ORDER,PRICE,BALANCE
30/10/2008 02:53:21,BUY,1.3241,-1.3241
30/10/2008 02:59:31,SELL,1.3231,-0.0010
30/10/2008 03:29:31,SELL,1.3185,1.3175
30/10/2008 03:29:51,BUY,1.3198,-0.0023
30/10/2008 04:00:31,BUY,1.3231,-1.3254
30/10/2008 04:01:01,SELL,1.3216,-0.0038
30/10/2008 04:05:41,SELL,1.3200,1.3162
30/10/2008 04:10:21,BUY,1.3211,-0.0049
30/10/2008 04:26:21,BUY,1.3220,-1.3269
30/10/2008 04:35:31,SELL,1.3210,-0.0059
30/10/2008 04:52:11,SELL,1.3209,1.3150
30/10/2008 05:31:01,BUY,1.3220,-0.0070
30/10/2008 05:33:31,BUY,1.3218,-1.3288
30/10/2008 05:37:21,SELL,1.3208,-0.0080
30/10/2008 06:09:41,SELL,1.3184,1.3104
30/10/2008 06:23:01,BUY,1.3181,-0.0077
30/10/2008 07:16:51,BUY,1.3191,-1.3268
30/10/2008 08:08:31,SELL,1.3192,-0.0076
30/10/2008 08:08:31,SELL,1.3192,1.3116
30/10/2008 09:29:11,BUY,1.3092,0.0024
30/10/2008 10:33:11,BUY,1.3108,-1.3084
30/10/2008 11:24:21,SELL,1.3095,0.0011
30/10/2008 11:24:51,SELL,1.3098,1.3109
30/10/2008 11:42:51,BUY,1.3110,-0.0001
30/10/2008 12:26:51,BUY,1.3104,-1.3105
30/10/2008 12:32:31,SELL,1.3092,-0.0013
30/10/2008 12:42:21,SELL,1.3074,1.3061
30/10/2008 13:49:01,BUY,1.2971,0.0090
30/10/2008 16:29:41,BUY,1.2877,-1.2787
30/10/2008 16:32:01,SELL,1.2865,0.0078
30/10/2008 19:25:21,SELL,1.2930,1.3008
30/10/2008 19:26:21,BUY,1.2940,0.0068
30/10/2008 20:22:11,BUY,1.2965,-1.2897
30/10/2008 20:30:21,SELL,1.2954,0.0057
30/10/2008 20:48:01,SELL,1.2925,1.2982
30/10/2008 22:44:51,BUY,1.2868,0.0114


Total profit: 0.0114
